('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         811495 function calls (787257 primitive calls) in 3.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      352    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        3    0.000    0.000    0.053    0.018 utils.py:1(<module>)
       54    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
      128    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      203    0.000    0.000    0.000    0.000 filter.py:616(_attribute_match)
       20    0.000    0.000    0.016    0.001 <frozen zipimport>:64(__init__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      253    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3474(_collect_parameters)
      339    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.062    0.062 dammit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:357(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       18    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      323    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3389(_has_generic_or_protocol_as_origin)
      341    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       49    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      526    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       20    0.000    0.000    0.031    0.002 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      324    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      520    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      339    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      219    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.018    0.018 pathlib.py:1(<module>)
    79/46    0.000    0.000    0.404    0.009 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       41    0.000    0.000    1.000    0.024 response.py:1151(_handle_chunk)
      302    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.092    0.092 css_parser.py:1(<module>)
    30/17    0.000    0.000    0.587    0.035 {built-in method builtins.__import__}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        2    0.000    0.000    0.020    0.010 request.py:1(<module>)
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
    44/32    0.000    0.000    0.015    0.000 css_parser.py:579(parse_pseudo_class)
        1    0.000    0.000    3.785    3.785 financial.py:1(<module>)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    2.654    2.654 financial.py:8(get_financial_data)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       68    0.000    0.000    0.985    0.014 {method 'readline' of '_io.BufferedReader' objects}
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.018    0.018 url.py:1(<module>)
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.099    0.049 connection.py:1(<module>)
      260    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
       20    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      524    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      518    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.012    0.006 models.py:1(<module>)
       43    0.000    0.000    0.006    0.000 response.py:469(_decode)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       10    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      176    0.000    0.000    0.008    0.000 _parser.py:98(closegroup)
       42    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       63    0.000    0.000    1.000    0.016 client.py:633(_safe_read)
        1    0.000    0.000    0.169    0.169 connectionpool.py:1(<module>)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
    40/31    0.000    0.000    0.014    0.000 css_parser.py:746(parse_pseudo_open)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
      166    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      166    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.082    0.082 adapters.py:1(<module>)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        7    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        5    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
      290    0.000    0.000    0.000    0.000 element.py:2168(get)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      341    0.000    0.000    0.000    0.000 socket.py:732(readable)
      416    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
        1    0.000    0.000    0.010    0.010 cookiejar.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        3    0.000    0.000    0.106    0.035 response.py:1(<module>)
      112    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.016    0.016 <frozen ntpath>:1(<module>)
      195    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.230    0.230 element.py:1(<module>)
       60    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       19    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      133    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
